종목코드,종목명,종가,대비,등락률,상장시가총액
"196170","알테오젠","313500","-24000","-7.11","1.6799319E7"
"247540","에코프로비엠","112600","-7600","-6.32","1.1015707E7"
"086520","에코프로","78000","-6400","-7.58","1.059054E7"
"277810","레인보우로보틱스","428500","-31000","-6.75","8312839.0"
"036930","주성엔지니어링","160000","-15600","-8.88","7436979.0"
"028300","HLB","50100","-1600","-3.09","6673231.0"
"058470","리노공업","69200","-2700","-3.76","5273860.0"
"240810","원익IPS","102700","-10000","-8.87","5040917.0"
"298380","에이비엘바이오","81500","-12400","-13.21","4562978.0"
"141080","리가켐바이오","120400","-15800","-11.60","4457138.0"
"000250","삼천당제약","189000","-12000","-5.97","4433462.0"
"319660","피에스케이","151400","-10400","-6.43","4385560.0"
"039030","이오테크닉스","345000","-25000","-6.76","4250245.0"
"222800","심텍","104600","-3800","-3.51","3918727.0"
"087010","펩트론","160400","-20800","-11.48","3740103.0"
"347850","디앤디파마텍","82200","-3100","-3.63","3650818.0"
"214450","파마리서치","327000","-13500","-3.96","3397415.0"
"214370","케어젠","59300","-8900","-13.05","3185300.0"
"403870","HPSP","38250","-3250","-7.83","3147975.0"
"214150","클래시스","47600","-150","-0.31","3105217.0"
"084370","유진테크","135200","-10900","-7.46","3098249.0"
"145020","휴젤","239500","-8500","-3.43","2946816.0"
"310210","보로노이","160300","-15500","-8.82","2952878.0"
"095340","ISC","137400","-12700","-8.46","2912476.0"
"108490","로보티즈","194400","-17600","-8.30","2850104.0"
"178320","서진시스템","43600","-2150","-4.70","2775172.0"
"095610","테스","135700","-9300","-6.41","2627152.0"
"080220","제주반도체","75400","-6900","-8.38","2596990.0"
"131290","티에스이","229500","-4000","-1.71","2538598.0"
"237690","에스티팜","120200","-8500","-6.60","2508903.0"
"031980","피에스케이홀딩스","116200","-11400","-8.93","2505550.0"
"226950","올릭스","122000","-12700","-9.43","2479343.0"
"319400","현대무벡스","21700","-1000","-4.41","2416860.0"
"064760","티씨케이","215000","-15500","-6.72","2403574.0"
"257720","실리콘투","36000","-2500","-6.49","2360745.0"
"263750","펄어비스","36350","-1000","-2.68","2284376.0"
"357780","솔브레인","290000","-16500","-5.38","2255784.0"
"067310","하나마이크론","34150","-3100","-8.32","2270307.0"
"005290","동진쎄미켐","42650","-3500","-7.58","2173876.0"
"089970","브이엠","85000","-2200","-2.52","2105620.0"
"290650","엘앤씨바이오","75700","-4300","-5.38","2041607.0"
"140860","파크시스템스","270500","-500","-0.18","1894168.0"
"035900","JYP Ent.","52600","-1800","-3.31","1869009.0"
"420770","기가비스","145500","5500","3.93","1844323.0"
"068760","셀트리온제약","40800","-900","-2.16","1811615.0"
"041510","에스엠","78800","-3100","-3.79","1804102.0"
"131970","두산테스나","91000","-12200","-11.82","1758779.0"
"098460","고영","25000","-2100","-7.75","1705105.0"
"032820","우리기술","9810","-1060","-9.75","1683447.0"
"0009K0","에임드바이오","24300","-1600","-6.18","1571509.0"
"058610","에스피지","66200","-5400","-7.54","1468141.0"
"096530","씨젠","28250","-1050","-3.58","1475384.0"
"082920","비츠로셀","31500","-3100","-8.96","1428194.0"
"007390","네이처셀","21750","-1300","-5.64","1401462.0"
"089030","테크윙","37950","-3150","-7.66","1406186.0"
"083650","비에이치아이","45050","-4550","-9.17","1394044.0"
"183300","코미코","66400","-6100","-8.41","1364209.0"
"043260","성호전자","18690","-710","-3.66","1337386.0"
"218410","RFHIC","49400","-5500","-10.02","1311740.0"
"030530","원익홀딩스","16400","-1480","-8.28","1266703.0"
"060370","LS마린솔루션","23550","-2800","-10.63","1230225.0"
"039200","오스코텍","31700","-1450","-4.37","1212784.0"
"078600","대주전자재료","74200","-7300","-8.96","1165247.0"
"195940","HK이노엔","39800","-1550","-3.75","1127530.0"
"003380","하림지주","9840","-200","-1.99","1102135.0"
"323280","태성","34950","-3400","-8.87","1067302.0"
"475830","오름테라퓨틱","47550","-3250","-6.40","1032767.0"
"166090","하나머티리얼즈","48100","-3600","-6.96","951306.0"
"437730","삼현","30200","-3000","-9.04","957569.0"
"101490","에스앤에스텍","43100","-3350","-7.21","919533.0"
"085660","차바이오텍","9880","-500","-4.82","918572.0"
"293490","카카오게임즈","8200","420","5.40","879411.0"
"038500","삼표시멘트","7770","-510","-6.16","838510.0"
"204270","제이앤티씨","14720","-900","-5.76","851529.0"
"241710","코스메카코리아","80400","-4000","-4.74","858672.0"
"036540","SFA반도체","5000","-100","-1.96","822302.0"
"099320","쎄트렉아이","75100","-6000","-7.40","822441.0"
"232140","와이씨","10160","-840","-7.64","833581.0"
"417200","LS머트리얼즈","12030","-1050","-8.03","813861.0"
"100790","미래에셋벤처투자","15100","-1580","-9.47","802121.0"
"328130","루닛","10690","-380","-3.43","795958.0"
"281740","레이크머티리얼즈","12100","-800","-6.20","795340.0"
"122870","와이지엔터테인먼트","42000","-2200","-4.98","785024.0"
"056190","SFA","21450","-500","-2.28","770243.0"
"090710","휴림로봇","6520","-560","-7.91","779525.0"
"065350","신성델타테크","27600","-1600","-5.48","758557.0"
"388720","유일로보틱스","63700","-7000","-9.90","750472.0"
"074600","원익QnC","28300","-2450","-7.97","743950.0"
"137400","피엔티","30900","-2500","-7.49","732043.0"
"035760","CJ ENM","32250","-650","-1.98","707215.0"
"032190","다우데이타","17790","-650","-3.52","681357.0"
"213420","덕산네오룩스","28300","-1100","-3.74","702722.0"
"189300","인텔리안테크","65300","-3200","-4.67","701159.0"
"033100","제룡전기","42750","-3750","-8.06","686668.0"
"006730","서부T&D","10430","-680","-6.12","670408.0"
"014620","성광벤드","24800","-1050","-4.06","658623.0"
"036830","솔브레인홀딩스","32800","-2050","-5.88","672531.0"
"445680","큐리옥스바이오시스템즈","39250","-3750","-8.72","675228.0"
"090360","로보스타","67500","-4500","-6.25","658125.0"
"161580","필옵틱스","28450","-3400","-10.68","666932.0"
"253450","스튜디오드래곤","22250","-850","-3.68","668802.0"
"048410","현대바이오","6930","-480","-6.48","668784.0"
"032500","케이엠더블유","15110","-890","-5.56","637517.0"
"466100","클로봇","24500","-1900","-7.20","623751.0"
"052400","코나아이","41850","-3050","-6.79","609474.0"
"053800","안랩","53800","-100","-0.19","598606.0"
"225570","넥슨게임즈","8850","-120","-1.34","582863.0"
"112040","위메이드","17510","-1160","-6.21","594438.0"
"050890","쏠리드","9490","-440","-4.43","576580.0"
"067160","SOOP","48150","-1150","-2.33","553473.0"
"295310","에이치브이엠","45950","-5450","-10.60","553540.0"
"251970","펌텍코리아","44700","-1800","-3.87","554280.0"
"222080","SFA넥셀","7340","-480","-6.14","570906.0"
"121600","나노신소재","43400","-3750","-7.95","532179.0"
"171090","선익시스템","51400","-2400","-4.46","519275.0"
"211050","인카금융서비스","10220","-240","-2.29","503475.0"
"399720","가온칩스","42800","-6150","-12.56","506703.0"
"376300","디어유","21750","-1250","-5.43","516310.0"
"358570","지아이이노베이션","8000","-830","-9.40","516128.0"
"033500","동성화인텍","16170","-980","-5.71","484930.0"
"348370","엔켐","21900","-1600","-6.81","479851.0"
"082270","젬백스","10870","-460","-4.06","481206.0"
"060250","NHN KCP","12280","-550","-4.29","493172.0"
"009520","포스코엠텍","10850","-570","-4.99","451823.0"
"124500","아이티센글로벌","19610","-1640","-7.72","455041.0"
"056080","유진로봇","12210","-900","-6.86","466855.0"
"015750","성우하이텍","5790","-170","-2.85","463200.0"
"036810","에프에스티","20750","-1500","-6.74","449233.0"
"215200","메가스터디교육","41300","0","0.00","428083.0"
"214430","아이쓰리시스템","60700","-1300","-2.10","443548.0"
"018290","브이티","11780","-400","-3.28","411615.0"
"030520","한글과컴퓨터","17110","-970","-5.37","413715.0"
"042000","카페24","16690","-510","-2.97","403534.0"
"348210","넥스틴","38900","-1950","-4.77","407555.0"
"272290","이녹스첨단소재","20900","-1500","-6.70","416694.0"
"278280","천보","34150","-1300","-3.67","418441.0"
"253590","네오셈","9540","-300","-3.05","418512.0"
"025980","아난티","3835","-160","-4.01","373149.0"
"101730","위메이드맥스","4665","-330","-6.61","390942.0"
"095660","네오위즈","18120","-370","-2.00","392053.0"
"025320","시노펙스","4040","-400","-9.01","372336.0"
"069080","웹젠","11980","260","2.22","370980.0"
"041190","우리기술투자","4395","-240","-5.18","369180.0"
"036620","감성코퍼레이션","4135","-140","-3.27","371583.0"
"060280","큐렉소","8140","-360","-4.24","335855.0"
"078340","컴투스","26000","-250","-0.95","314374.0"
"125490","한라캐스트","7520","-680","-8.29","274498.0"
"025900","동화기업","5640","-250","-4.24","285143.0"
"352480","씨앤씨인터내셔널","19530","-520","-2.59","266192.0"
"194480","데브시스터즈","16930","40","0.24","205347.0"
