종목코드,종목명,종가,대비,등락률,상장시가총액
"051900","LG생활건강","256000","-2000","-0.78","3833734.0"
"052690","한전기술","94900","-6800","-6.69","3627078.0"
"066970","엘앤에프","91800","-7700","-7.74","3724137.0"
"069960","현대백화점","168700","-7600","-4.31","3638001.0"
"018880","한온시스템","3575","-120","-3.25","3668889.0"
"088350","한화생명","4335","-135","-3.02","3765078.0"
"111770","영원무역","85400","1400","1.67","3784199.0"
"001040","CJ","142300","-11300","-7.36","4151887.0"
"002380","KCC","447500","-24500","-5.19","3845321.0"
"082740","한화엔진","44750","-4100","-8.39","3734260.0"
"251270","넷마블","38800","-450","-1.15","3179061.0"
"383220","F&F","80200","-2600","-3.14","3072227.0"
"035250","강원랜드","14780","-300","-1.99","3162041.0"
"010060","OCI홀딩스","180500","-17400","-8.79","3369977.0"
"001450","현대해상","37950","400","1.07","3235171.0"
"004020","현대제철","26900","-850","-3.06","3589692.0"
"009420","한올바이오파마","58700","-1200","-2.00","3066525.0"
"036460","한국가스공사","33200","-50","-0.15","3064792.0"
"302440","SK바이오사이언스","37950","-450","-1.17","2977426.0"
"450080","에코프로머티","35850","-3200","-8.19","2538677.0"
"483650","달바글로벌","217500","-12500","-5.43","2715415.0"
"026960","동서","25500","-350","-1.35","2542350.0"
"028670","팬오션","5170","80","1.57","2763724.0"
"081660","미스토홀딩스","47850","1650","3.57","2540445.0"
"097950","CJ제일제당","198200","-2300","-1.15","2983740.0"
"139130","iM금융지주","18090","-620","-3.31","2905699.0"
"161890","한국콜마","112100","-3000","-2.61","2646129.0"
"005850","에스엘","57400","-600","-1.03","2666145.0"
"011170","롯데케미칼","60700","-2200","-3.50","2596468.0"
"011780","금호석유화학","112500","-4500","-3.85","2830199.0"
"012750","에스원","71800","-1500","-2.05","2728341.0"
"014680","한솔케미칼","238000","-13000","-5.18","2621070.0"
"017800","현대엘리베이터","69300","-2500","-3.48","2709102.0"
"022100","포스코DX","19240","-1010","-4.99","2925148.0"
"204320","HL만도","48700","300","0.62","2286812.0"
"282330","BGF리테일","125400","-800","-0.63","2167402.0"
"009970","영원무역홀딩스","185200","-4800","-2.53","2399047.0"
"008930","한미사이언스","33650","2000","6.32","2301376.0"
"008770","호텔신라","51500","-2700","-4.98","2021278.0"
"007340","DN오토모티브","35400","-1200","-3.28","2071285.0"
"007070","GS리테일","25050","-750","-2.91","2094366.0"
"004990","롯데지주","24000","-800","-3.23","2391931.0"
"004370","농심","362000","-2000","-0.55","2201916.0"
"000240","한국앤컴퍼니","25600","-600","-2.29","2430342.0"
"192820","코스맥스","179600","-3400","-1.86","2038372.0"
"139480","이마트","81100","-3600","-4.25","2238021.0"
"051600","한전KPS","43900","-1600","-3.52","1975500.0"
"030000","제일기획","18980","-130","-0.68","2183482.0"
"375500","DL이앤씨","59700","-4900","-7.59","2310009.0"
"006040","동원산업","35100","-300","-0.85","1549343.0"
"002790","아모레퍼시픽홀딩스","24800","-300","-1.20","1896163.0"
"120110","코오롱인더","56100","-3000","-5.08","1679972.0"
"112610","씨에스윈드","39050","-2000","-4.87","1646793.0"
"103140","풍산","62500","-3400","-5.16","1751517.0"
"073240","금호타이어","6400","70","1.11","1838466.0"
"011210","현대위아","60600","-2400","-3.81","1648022.0"
"069620","대웅제약","134900","400","0.30","1563029.0"
"001800","오리온홀딩스","26050","-300","-1.14","1567081.0"
"006280","녹십자","121200","-3800","-3.04","1416408.0"
"457190","이수스페셜티케미컬","60200","-4800","-7.38","1819176.0"
"000120","CJ대한통운","74300","-2400","-3.13","1694957.0"
"071970","HD현대마린엔진","55900","-4700","-7.76","1896212.0"
"000080","하이트진로","15150","-200","-1.30","1062524.0"
"000210","DL","44300","-950","-2.10","928346.0"
"001430","세아베스틸지주","30150","-1950","-6.07","1081243.0"
"003090","대웅","17820","-380","-2.09","1036090.0"
"003240","태광산업","831000","-33000","-3.82","925235.0"
"004000","롯데정밀화학","43350","-1500","-3.34","1118430.0"
"005300","롯데칠성","100500","-1100","-1.08","932528.0"
"007310","오뚜기","317500","-5500","-1.70","1272486.0"
"017960","한국카본","24000","-500","-2.04","1240236.0"
"034230","파라다이스","12920","-490","-3.65","1196772.0"
"093370","후성","10740","-850","-7.33","1151922.0"
"185750","종근당","69600","-600","-0.85","960673.0"
"192080","더블유게임즈","64500","-2100","-3.15","1365689.0"
"280360","롯데웰푸드","105600","-1400","-1.31","972003.0"
"298020","효성티앤씨","268000","-11000","-3.94","1159819.0"
"300720","한일시멘트","14470","-220","-1.50","1064199.0"
"361610","SK아이이테크놀로지","14400","-1030","-6.68","1177734.0"
"000670","영풍","36650","-2150","-5.54","674752.0"
"456040","OCI","83700","-6500","-7.21","749324.0"
"002030","아세아","188500","700","0.37","388094.0"
"002840","미원상사","123900","1000","0.81","588525.0"
"003030","세아제강지주","105100","-6600","-5.91","435288.0"
"005420","코스모화학","9260","-730","-7.31","355660.0"
"006650","대한유화","102600","-6200","-5.70","666900.0"
"008730","율촌화학","13950","-1030","-6.88","345960.0"
"009240","한샘","34300","-700","-2.00","807214.0"
"014820","동원시스템즈","18920","-640","-3.27","548515.0"
"069260","TKG휴켐스","15620","-100","-0.64","638524.0"
"071320","지역난방공사","67400","-1100","-1.61","780407.0"
"137310","에스디바이오센서","6430","-190","-2.87","776417.0"
"268280","미원에스씨","107100","0","0.00","535500.0"
"285130","SK케미칼","40600","-2350","-5.47","702330.0"
"298050","HS효성첨단소재","150200","-6200","-3.96","672888.0"
"001680","대상","17550","-400","-2.23","608073.0"
